symbol,instrument_type,security_type,market_status,total_volume,aum_size,average,change,eps,exchange,exercise_price,exercise_ratio,high,implied_volatility,inav,intrinsic_value,last,last_trading_date,low,maturity_date,moneyness,pbv,pe,percent_change,percent_yield,theoretical,to_last_trade,underlying,underlying_price,updated_at,shares_outstanding
BIZ,STOCK,CS,Open1,0,NULL,NULL,NULL,0.37464,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.23,8.74,NULL,10.73999977,NULL,NULL,NULL,NULL,30:20.7,
BJC,STOCK,CS,Open1,0,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.69,20.83,NULL,3.410000086,NULL,NULL,NULL,NULL,30:22.9,
BJCHI,STOCK,CS,Open1,0,NULL,NULL,NULL,-0.01758,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.36,0,NULL,0,NULL,NULL,NULL,NULL,30:25.1,
BKD,STOCK,CS,Open1,0,NULL,NULL,NULL,0.15395,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.85,8.05,NULL,8.06000042,NULL,NULL,NULL,NULL,30:27.4,
BKGI,STOCK,CS,Open1,0,NULL,NULL,NULL,0.09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.19,23.44,NULL,2.549999952,NULL,NULL,NULL,NULL,30:29.7,
BKIH,STOCK,CS,Open1,0,NULL,NULL,NULL,28.60917,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.93,9.93,NULL,5.920000076,NULL,NULL,NULL,NULL,30:31.8,
BLA,STOCK,CS,Open1,0,NULL,NULL,NULL,2.12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7,9.28,NULL,3.450000048,NULL,NULL,NULL,NULL,30:34.0,
BLAND,STOCK,CS,Open1,0,NULL,NULL,NULL,0.01019,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.17,7.04,NULL,2.170000076,NULL,NULL,NULL,NULL,30:36.2,
BLC,STOCK,CS,Open1,0,NULL,NULL,NULL,0.29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.5,14.57,NULL,3.609999895,NULL,NULL,NULL,NULL,30:38.4,
BLESS,STOCK,CS,Open1,0,NULL,NULL,NULL,0.01002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.16,22.95,NULL,0,NULL,NULL,NULL,NULL,30:40.6,
BLISS,STOCK,CS,Suspend,0,NULL,NULL,NULL,-0.00287,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30:42.8,
BM,STOCK,CS,Open1,0,NULL,NULL,NULL,0.13759,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.01,21.62,NULL,3.690000057,NULL,NULL,NULL,NULL,30:45.0,
BOFFICE,STOCK,CS,Open1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5,NULL,NULL,11.64999962,NULL,NULL,NULL,NULL,30:47.2,
BOL,STOCK,CS,Open1,0,NULL,NULL,NULL,0.33606,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.02,15.18,NULL,6.079999924,NULL,NULL,NULL,NULL,30:49.3,
BPP,STOCK,CS,Open1,0,NULL,NULL,NULL,0.57299,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.42,12.04,NULL,8.699999809,NULL,NULL,NULL,NULL,30:51.6,
BPS,STOCK,CS,Open1,0,NULL,NULL,NULL,0.02049,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7,26.37,NULL,2.5,NULL,NULL,NULL,NULL,30:54.9,
BR,STOCK,CS,Open1,0,NULL,NULL,NULL,0.13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.32,12.33,NULL,0,NULL,NULL,NULL,NULL,30:57.1,
BRI,STOCK,CS,Open1,0,NULL,NULL,NULL,0.50009,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.32,3.98,NULL,1.50999999,NULL,NULL,NULL,NULL,30:59.3,
BROCK,STOCK,CS,Open1,0,NULL,NULL,NULL,-0.01538,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.25,0,NULL,0,NULL,NULL,NULL,NULL,31:01.5,
BRR,STOCK,CS,Open1,0,NULL,NULL,NULL,1.27333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.94,3.52,NULL,11.15999985,NULL,NULL,NULL,NULL,31:03.7,
BRRGIF,STOCK,CS,Open1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6,NULL,NULL,8.449999809,NULL,NULL,NULL,NULL,31:05.9,
BSBM,STOCK,CS,Open1,0,NULL,NULL,NULL,-0.13001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.47,0,NULL,0,NULL,NULL,NULL,NULL,31:08.0,
BSM,STOCK,CS,Open1,0,NULL,NULL,NULL,-0.369,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.9,0,NULL,0,NULL,NULL,NULL,NULL,31:10.2,
BSRC,STOCK,CS,Open1,0,NULL,NULL,NULL,-0.49,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.71,0,NULL,1.549999952,NULL,NULL,NULL,NULL,31:12.4,
BTC,STOCK,CS,Open1,0,NULL,NULL,NULL,0.017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.16,24.91,NULL,5.769999981,NULL,NULL,NULL,NULL,31:14.6,
BTG,STOCK,CS,Open1,0,NULL,NULL,NULL,1.27463,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.41,15.53,NULL,2.529999971,NULL,NULL,NULL,NULL,31:16.8,
BTNC,STOCK,CS,Open1,0,NULL,NULL,NULL,0.69122,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.35,20.83,NULL,1.389999986,NULL,NULL,NULL,NULL,31:19.0,
BTS,STOCK,CS,Open1,0,NULL,NULL,NULL,0.16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.53,40.6,NULL,0,NULL,NULL,NULL,NULL,31:21.2,
BTSGIF,STOCK,CS,Open1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.58,NULL,NULL,0,NULL,NULL,NULL,NULL,31:23.4,
BTW,STOCK,CS,Open1,0,NULL,NULL,NULL,-0.05179,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.62,0,NULL,0,NULL,NULL,NULL,NULL,31:25.6,
BUI,STOCK,CS,Open1,0,NULL,NULL,NULL,4.08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.69,4.46,NULL,15.38000011,NULL,NULL,NULL,NULL,31:27.7,
BVG,STOCK,CS,Open1,0,NULL,NULL,NULL,0.11584,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.1,15.8,NULL,4.639999866,NULL,NULL,NULL,NULL,31:30.0,
BWG,STOCK,CS,Open1,0,NULL,NULL,NULL,0.01693,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.39,17.92,NULL,0,NULL,NULL,NULL,NULL,31:32.2,
BYD,STOCK,CS,Open1,0,NULL,NULL,NULL,-0.891,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.33,0,NULL,0,NULL,NULL,NULL,NULL,31:36.6,
CAZ,STOCK,CS,Open1,0,NULL,NULL,NULL,-0.7881,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.73,0,NULL,0,NULL,NULL,NULL,NULL,31:38.7,
CBG,STOCK,CS,Open1,0,NULL,NULL,NULL,2.84268,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.49,20.84,NULL,2.190000057,NULL,NULL,NULL,NULL,31:40.9,
CCET,STOCK,CS,Open1,0,NULL,NULL,NULL,0.25424,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.4,23.89,NULL,3.359999895,NULL,NULL,NULL,NULL,31:43.5,
CCP,STOCK,CS,Open1,0,NULL,NULL,NULL,0.03132,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.39,6.71,NULL,4.760000229,NULL,NULL,NULL,NULL,31:45.7,
CEN,STOCK,CS,Open1,0,NULL,NULL,NULL,-0.02897,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.92,0,NULL,0,NULL,NULL,NULL,NULL,31:47.9,
CENTEL,STOCK,CS,Open1,0,NULL,NULL,NULL,1.29851,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.13,25.22,NULL,1.799999952,NULL,NULL,NULL,NULL,31:50.1,
CEYE,STOCK,CS,Open1,0,NULL,NULL,NULL,0.07848,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.99,28.54,NULL,3.349999905,NULL,NULL,NULL,NULL,31:52.2,
CFARM,STOCK,CS,Open1,0,NULL,NULL,NULL,0.01954,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.52,33.74,NULL,0,NULL,NULL,NULL,NULL,31:54.5,
CFRESH,STOCK,CS,Open1,0,NULL,NULL,NULL,-0.08794,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.44,0,NULL,0,NULL,NULL,NULL,NULL,31:56.6,
CGD,STOCK,CS,Open1,0,NULL,NULL,NULL,-0.03045,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.54,0,NULL,0,NULL,NULL,NULL,NULL,31:58.8,
CGH,STOCK,CS,Open1,0,NULL,NULL,NULL,0.0622,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.35,8.69,NULL,0,NULL,NULL,NULL,NULL,32:01.0,
CH,STOCK,CS,Open1,0,NULL,NULL,NULL,0.15894,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.17,12.58,NULL,5,NULL,NULL,NULL,NULL,32:03.2,
CHAO,STOCK,CS,Open1,0,NULL,NULL,NULL,0.48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.54,11.92,NULL,3.210000038,NULL,NULL,NULL,NULL,32:05.3,
CHARAN,STOCK,CS,Open1,0,NULL,NULL,NULL,-0.59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.46,0,NULL,0,NULL,NULL,NULL,NULL,32:07.5,
CHASE,STOCK,CS,Open1,0,NULL,NULL,NULL,0.043,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.36,14.51,NULL,1.649999976,NULL,NULL,NULL,NULL,32:09.8,
CHAYO,STOCK,CS,Open1,0,NULL,NULL,NULL,0.21206,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.71,10.37,NULL,0.050000001,NULL,NULL,NULL,NULL,32:12.0,
CHEWA,STOCK,CS,Open1,0,NULL,NULL,NULL,-0.28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.23,0,NULL,0,NULL,NULL,NULL,NULL,32:14.2,
CHG,STOCK,CS,Open1,0,NULL,NULL,NULL,0.08775,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.68,21.43,NULL,3.720000029,NULL,NULL,NULL,NULL,32:16.4,
CHIC,STOCK,CS,Open1,0,NULL,NULL,NULL,-0.0196,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.58,0,NULL,0,NULL,NULL,NULL,NULL,32:18.5,
CHO,STOCK,CS,Open1,0,NULL,NULL,NULL,-0.3478,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.51,0,NULL,0,NULL,NULL,NULL,NULL,32:20.7,
CHOTI,STOCK,CS,Open1,0,NULL,NULL,NULL,-17.42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.58,0,NULL,0,NULL,NULL,NULL,NULL,32:22.9,
CHOW,STOCK,CS,Open1,0,NULL,NULL,NULL,0.18484,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.49,7.03,NULL,0,NULL,NULL,NULL,NULL,32:25.1,
CI,STOCK,CS,Open1,0,NULL,NULL,NULL,-0.2478,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.39,0,NULL,0,NULL,NULL,NULL,NULL,32:27.2,
CIG,STOCK,CS,Open1,0,NULL,NULL,NULL,-0.12685,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.33,0,NULL,0,NULL,NULL,NULL,NULL,32:29.4,
CIMBT,STOCK,CS,Open1,0,NULL,NULL,NULL,0.08191,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.48,8.55,NULL,5.710000038,NULL,NULL,NULL,NULL,32:31.6,
CITY,STOCK,CS,Open1,0,NULL,NULL,NULL,-0.01822,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.39,0,NULL,0,NULL,NULL,NULL,NULL,32:33.8,
CIVIL,STOCK,CS,Open1,0,NULL,NULL,NULL,0.16412,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.58,9.69,NULL,1.25999999,NULL,NULL,NULL,NULL,32:35.9,
CK,STOCK,CS,Open1,0,NULL,NULL,NULL,0.85376,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.97,17.46,NULL,2.00999999,NULL,NULL,NULL,NULL,32:38.1,
CKP,STOCK,CS,Open1,0,NULL,NULL,NULL,0.165,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.76,15.84,NULL,3.24000001,NULL,NULL,NULL,NULL,32:40.3,
CM,STOCK,CS,Open1,0,NULL,NULL,NULL,0.15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.47,11.98,NULL,5.920000076,NULL,NULL,NULL,NULL,32:42.5,
CMAN,STOCK,CS,Open1,0,NULL,NULL,NULL,0.26212,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.87,8.7,NULL,5.260000229,NULL,NULL,NULL,NULL,32:44.6,
CMC,STOCK,CS,Open1,0,NULL,NULL,NULL,-0.1937,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.47,0,NULL,0,NULL,NULL,NULL,NULL,32:46.8,
CMO,STOCK,CS,Open1,0,NULL,NULL,NULL,-0.23463,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.01,0,NULL,0,NULL,NULL,NULL,NULL,32:49.0,
CMR,STOCK,CS,Open1,0,NULL,NULL,NULL,0.03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.49,43.05,NULL,3.619999886,NULL,NULL,NULL,NULL,32:51.2,
CNT,STOCK,CS,Open1,0,NULL,NULL,NULL,0.04852,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.58,19.99,NULL,4.119999886,NULL,NULL,NULL,NULL,32:53.4,
COCOCO,STOCK,CS,Open1,0,NULL,NULL,NULL,0.46693,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.78,14.88,NULL,4.320000172,NULL,NULL,NULL,NULL,32:55.6,
COLOR,STOCK,CS,Open1,0,NULL,NULL,NULL,0.06295,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.74,16.84,NULL,4.71999979,NULL,NULL,NULL,NULL,32:57.8,
COM7,STOCK,CS,Open1,200,NULL,20.5,0.1,1.39,NULL,NULL,NULL,20.5,NULL,NULL,NULL,20.5,NULL,20.5,NULL,NULL,5.33,14.1,0.49,4.340000153,NULL,NULL,NULL,NULL,32:59.9,
COMAN,STOCK,CS,Open1,0,NULL,NULL,NULL,-0.3327,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.28,0,NULL,0,NULL,NULL,NULL,NULL,33:02.1,
CPALL,STOCK,CS,Open1,0,NULL,NULL,NULL,2.77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.59,17.99,NULL,2.660000086,NULL,NULL,NULL,NULL,33:04.3,
CPANEL,STOCK,CS,Open1,0,NULL,NULL,NULL,-0.02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.09,0,NULL,0,NULL,NULL,NULL,NULL,33:06.5,
CPAXT,STOCK,CS,Open1,0,NULL,NULL,NULL,1.61,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.94,26.39,NULL,1.980000019,NULL,NULL,NULL,NULL,33:08.7,
CPF,STOCK,CS,Open1,0,NULL,NULL,NULL,2.39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.81,10.2,NULL,4.130000114,NULL,NULL,NULL,NULL,33:10.9,
CPH,STOCK,CS,Open1,0,NULL,NULL,NULL,1.01007,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.28,7.67,NULL,9.680000305,NULL,NULL,NULL,NULL,33:13.1,
CPI,STOCK,CS,Open1,0,NULL,NULL,NULL,0.50666,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.65,5.84,NULL,7.429999828,NULL,NULL,NULL,NULL,33:15.4,
CPL,STOCK,CS,Open1,0,NULL,NULL,NULL,-0.18151,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.48,0,NULL,0,NULL,NULL,NULL,NULL,33:17.5,
CPN,STOCK,CS,Open1,0,NULL,NULL,NULL,3.73,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.26,13.62,NULL,4.139999866,NULL,NULL,NULL,NULL,33:19.7,
CPNCG,STOCK,CS,Open1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6,NULL,NULL,13.36999989,NULL,NULL,NULL,NULL,33:21.9,
CPNREIT,STOCK,CS,Open1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.99,NULL,NULL,5.269999981,NULL,NULL,NULL,NULL,33:24.1,
CPR,STOCK,CS,Open1,0,NULL,NULL,NULL,0.11732,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.02,22.16,NULL,32,NULL,NULL,NULL,NULL,33:26.3,
CPT,STOCK,CS,Open1,0,NULL,NULL,NULL,0.0794,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.89,12.21,NULL,2.579999924,NULL,NULL,NULL,NULL,33:28.5,
CPTREIT,STOCK,CS,Open1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.44,NULL,NULL,1.379999995,NULL,NULL,NULL,NULL,33:30.7,
CPW,STOCK,CS,Open1,0,NULL,NULL,NULL,0.17295,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.44,11.8,NULL,7.840000153,NULL,NULL,NULL,NULL,33:32.9,
CRANE,STOCK,CS,Open1,0,NULL,NULL,NULL,0.00399,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.36,97.83,NULL,0,NULL,NULL,NULL,NULL,33:35.1,
CRC,STOCK,CS,Open1,0,NULL,NULL,NULL,1.34908,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.43,20.57,NULL,2.160000086,NULL,NULL,NULL,NULL,33:37.2,
CRD,STOCK,CS,Open1,0,NULL,NULL,NULL,0.03257,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.41,10.74,NULL,0,NULL,NULL,NULL,NULL,33:39.4,
CREDIT,STOCK,CS,Open1,0,NULL,NULL,NULL,2.95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,6.37,NULL,3.210000038,NULL,NULL,NULL,NULL,33:41.6,
CSC,STOCK,CS,Open1,0,NULL,NULL,NULL,5.52434,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.58,8.5,NULL,6.380000114,NULL,NULL,NULL,NULL,33:43.8,
CSP,STOCK,CS,Open1,0,NULL,NULL,NULL,-0.21559,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.43,0,NULL,0,NULL,NULL,NULL,NULL,33:46.0,
CSR,STOCK,CS,Open1,0,NULL,NULL,NULL,3.08077,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.46,28.24,NULL,2.200000048,NULL,NULL,NULL,NULL,33:48.1,
CSS,STOCK,CS,Open1,0,NULL,NULL,NULL,0.06439,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.55,12.74,NULL,4.880000114,NULL,NULL,NULL,NULL,33:50.3,
CTARAF,STOCK,CS,Open1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.83,NULL,NULL,0,NULL,NULL,NULL,NULL,33:52.5,
CTW,STOCK,CS,Open1,0,NULL,NULL,NULL,0.25955,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.29,11.02,NULL,1.75,NULL,NULL,NULL,NULL,33:54.7,
CV,STOCK,CS,Suspend,0,NULL,NULL,NULL,-0.39021,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.18,0,NULL,0,NULL,NULL,NULL,NULL,33:56.9,
CWT,STOCK,CS,Open1,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2,424.18,NULL,0,NULL,NULL,NULL,NULL,33:59.0,
D,STOCK,CS,Open1,0,NULL,NULL,NULL,0.14748,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.98,15.05,NULL,4.050000191,NULL,NULL,NULL,NULL,34:01.3,
DCC,STOCK,CS,Open1,0,NULL,NULL,NULL,0.1211,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.73,11.02,NULL,5.989999771,NULL,NULL,NULL,NULL,34:03.5,
DCON,STOCK,CS,Open1,0,NULL,NULL,NULL,0.011,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.56,25.49,NULL,0.980000019,NULL,NULL,NULL,NULL,34:05.7,
DDD,STOCK,CS,Open1,0,NULL,NULL,NULL,0.07613,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.46,86.57,NULL,2.349999905,NULL,NULL,NULL,NULL,34:07.9,
DELTA,STOCK,CS,Open1,0,NULL,NULL,NULL,1.52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10.77,45.45,NULL,0.670000017,NULL,NULL,NULL,NULL,34:10.1,
DEMCO,STOCK,CS,Open1,0,NULL,NULL,NULL,-0.08561,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.41,0,NULL,0,NULL,NULL,NULL,NULL,34:12.3,
DEXON,STOCK,CS,Open1,0,NULL,NULL,NULL,0.11952,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.77,11.96,NULL,4.199999809,NULL,NULL,NULL,NULL,34:14.4,
DHOUSE,STOCK,CS,Open1,0,NULL,NULL,NULL,0.0054,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.13,106.45,NULL,0,NULL,NULL,NULL,NULL,34:16.6,
DIF,STOCK,CS,Open1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.51,NULL,NULL,11.97999954,NULL,NULL,NULL,NULL,34:18.8,
DIMET,STOCK,CS,Open1,0,NULL,NULL,NULL,-0.08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.78,0,NULL,0,NULL,NULL,NULL,NULL,34:21.0,
DITTO,STOCK,CS,Open1,0,NULL,NULL,NULL,0.66497,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.95,15.14,NULL,2.5,NULL,NULL,NULL,NULL,34:23.1,
DMT,STOCK,CS,Open1,0,NULL,NULL,NULL,0.75943,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.42,13.43,NULL,8.140000343,NULL,NULL,NULL,NULL,34:25.4,
DOD,STOCK,CS,Open1,0,NULL,NULL,NULL,-0.35375,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.63,0,NULL,0,NULL,NULL,NULL,NULL,34:27.5,
DOHOME,STOCK,CS,Open1,0,NULL,NULL,NULL,0.21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.71,32.62,NULL,0.079999998,NULL,NULL,NULL,NULL,34:29.7,
