symbol,instrument_type,security_type,market_status,total_volume,aum_size,average,change,eps,exchange,exercise_price,exercise_ratio,high,implied_volatility,inav,intrinsic_value,last,last_trading_date,low,maturity_date,moneyness,pbv,pe,percent_change,percent_yield,theoretical,to_last_trade,underlying,underlying_price,updated_at,shares_outstanding
AIMCG,STOCK,CS,Open1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.25,NULL,NULL,19.38999939,NULL,NULL,NULL,NULL,27:16.7,
AIMIRT,STOCK,CS,Open1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.85,NULL,NULL,7.510000229,NULL,NULL,NULL,NULL,27:18.9,
AIRA,STOCK,CS,Open1,0,NULL,NULL,NULL,-0.02158,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.94,0,NULL,0,NULL,NULL,NULL,NULL,27:21.1,
AIT,STOCK,CS,Open1,0,NULL,NULL,NULL,0.37218,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.6,11.97,NULL,12.32999992,NULL,NULL,NULL,NULL,27:23.3,
AJ,STOCK,CS,Open1,0,NULL,NULL,NULL,-1.38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3,0,NULL,0,NULL,NULL,NULL,NULL,27:25.6,
AJA,STOCK,CS,Open1,0,NULL,NULL,NULL,-0.01781,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.89,0,NULL,0,NULL,NULL,NULL,NULL,27:27.8,
AKP,STOCK,CS,Open1,0,NULL,NULL,NULL,0.08998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.44,7.78,NULL,5.289999962,NULL,NULL,NULL,NULL,27:30.0,
AKR,STOCK,CS,Open1,0,NULL,NULL,NULL,0.19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.89,5.36,NULL,9.800000191,NULL,NULL,NULL,NULL,27:32.2,
AKS,STOCK,CS,Open1,0,NULL,NULL,NULL,-0.02838,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.69,0,NULL,0,NULL,NULL,NULL,NULL,27:34.4,
ALLA,STOCK,CS,Open1,0,NULL,NULL,NULL,0.16838,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.84,7.96,NULL,8.210000038,NULL,NULL,NULL,NULL,27:36.6,
ALLY,STOCK,CS,Open1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.48,NULL,NULL,11.35999966,NULL,NULL,NULL,NULL,27:38.8,
ALPHAX,STOCK,CS,Open1,0,NULL,NULL,NULL,0.03563,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.72,12.35,NULL,0,NULL,NULL,NULL,NULL,27:41.0,
ALT,STOCK,CS,Open1,0,NULL,NULL,NULL,0.00719,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.56,111.24,NULL,0,NULL,NULL,NULL,NULL,27:43.2,
ALUCON,STOCK,CS,Open1,0,NULL,NULL,NULL,18.08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.1,9.87,NULL,6.71999979,NULL,NULL,NULL,NULL,27:45.4,
AMA,STOCK,CS,Open1,0,NULL,NULL,NULL,0.65174,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7,6.17,NULL,11.18999958,NULL,NULL,NULL,NULL,27:47.6,
AMANAH,STOCK,CS,Open1,0,NULL,NULL,NULL,-0.01386,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.54,0,NULL,0,NULL,NULL,NULL,NULL,27:49.8,
AMARC,STOCK,CS,Open1,0,NULL,NULL,NULL,0.09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.93,12.11,NULL,5.21999979,NULL,NULL,NULL,NULL,27:51.9,
AMARIN,STOCK,CS,Open1,0,NULL,NULL,NULL,0.08465,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.52,31.39,NULL,2.5,NULL,NULL,NULL,NULL,27:54.1,
