"symbol","instrument_type","security_type","market_status","total_volume","aum_size","average","change","eps","exchange","exercise_price","exercise_ratio","high","implied_volatility","inav","intrinsic_value","last","last_trading_date","low","maturity_date","moneyness","pbv","pe","percent_change","percent_yield","theoretical","to_last_trade","underlying","underlying_price","updated_at"
"24CS","STOCK","CS","Open1",0,NULL,NULL,NULL,"-1.02188",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2.73","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-17 01:26:21.661312"
"2S","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.04221",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.63","51.32",NULL,"5.0",NULL,NULL,NULL,NULL,"2025-03-17 01:26:23.888263"
"3BBIF","STOCK","CS","Open1",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.66",NULL,NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-17 01:26:26.042454"
"A","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.45",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.95","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-17 01:26:28.236707"
"A5","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.37987",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.71","6.39",NULL,"4.070000171661377",NULL,NULL,NULL,NULL,"2025-03-17 01:26:30.515503"
"AAI","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.47219",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2.2","11.22",NULL,"8.460000038146973",NULL,NULL,NULL,NULL,"2025-03-17 01:26:32.695952"
"AAV","STOCK","CS","Open1",1300,NULL,"2.14","0.1","0.27066",NULL,NULL,NULL,"2.16",NULL,NULL,NULL,"2.12",NULL,"2.12",NULL,NULL,"2.2","7.2","4.95","0.0",NULL,NULL,NULL,NULL,"2025-03-17 01:26:34.874946"
"ABM","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.09",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.74","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-17 01:26:37.044704"
"ACAP","STOCK","CS","Suspend",0,NULL,NULL,NULL,"0.65245",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-03-17 01:26:39.21298"
"ACC","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.06114",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.84","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-17 01:26:41.400359"
